Post ID,Platform,Duration (sec),Date,Post type,Views,Reach,Likes,Shares,Follows,Comments,Saves,Hashtag
1,Instagram,0,11-04-2025,carousel,1623,213,32,0,0,0,0,#SocialMediaGrowth #brewyourbrand #cafebussines #coffeelovers #brandingstrategy #digitalmarketing #socialmediastrategy #growwithgraphura
2,Instagram,39,02-02-2026,reel,225,146,13,0,0,0,0,#instagram #facebook #twitter #collobration
3,Instagram,0,02-01-2026,carousel,130,45,6,0,0,0,0,#ProductDesign #CleanAirVibes #HealthyLiving #smartliving
4,Instagram,0,31-01-2026,image,113,54,6,0,0,0,0,#IndianCoastGuardDay #MaritimeSafety #NationalPride #DesignForImpact
5,Instagram,0,30-01-2026,image,107,56,7,0,0,0,0,#GoRocketFast #BusinessGrowth #DigitalMarketing #CreativeAgency
6,Instagram,0,29-01-2026,image,116,56,8,0,0,0,0,#MartyrsDay #ShaheedDiwas #SaluteToHeroes #NationFirst
7,Instagram,0,28-01-2026,carousel,178,48,10,0,0,0,0,#GraphuraIndia #FinancialMarketing #BrandGrowth #businessmarketing
8,Instagram,0,27-01-2026,image,185,77,9,1,0,0,0,#BrandingByGraphura #LogoDesign #BrandStorytelling #ʙʀᴀɴᴅɪᴅᴇɴᴛɪᴛʏ
9,Instagram,0,26-01-2026,carousel,294,84,13,0,0,0,0,#DesignedByGraphura #BikeAdvertising #CarouselDesign #SocialMediaCreatives
10,Instagram,56,25-01-2026,reel,767,468,36,6,1,2,0,#GraphuraIndia #MarketingEvolution #OldVsNewMarketing #DigitalMarketingAgency
11,Instagram,41,25-01-2026,reel,380,239,16,2,0,1,0,#26thJanuary #Graphura #DesignTutorial #PosterDesign
12,Instagram,0,24-01-2026,image,174,79,11,1,0,0,0,#NationalTourismDay #graphura #CareerJourney #professionalgrowth
13,Instagram,0,23-01-2026,image,167,64,16,0,0,0,0,#Graphura #EmpowerHer #GirlsInLeadership #futureleaders
14,Instagram,0,22-01-2026,image,225,90,20,1,0,0,0,#2KFollowers #LinkedInGrowth #MilestoneMoment #CommunityDriven
15,Instagram,0,21-01-2026,image,238,84,17,1,0,0,0,#NetajiJayanti #Graphura #GraphuraIndia #leadership
16,Instagram,0,20-01-2026,image,194,89,11,2,0,0,0,#CreativeStrategy #BusinessGrowth #BrandConsultation #DesignStrategy
17,Instagram,0,19-01-2026,carousel,222,78,15,0,0,0,0,#BrandingDesign #VisualIdentity #HaircareBranding #creativedesign
18,Instagram,0,18-01-2026,carousel,341,100,15,1,0,0,0,#digitalmarketing #GymBranding #FitnessBusiness #GymMarketing
19,Instagram,23,17-01-2026,reel,1012,547,26,4,0,1,0,#service #instagram #webdevelopment #graphicdesign
20,Instagram,0,16-01-2026,carousel,288,95,17,2,0,0,0,#GraphuraDesigns #CreativeDesign #SocialMediaDesign #CarouselPost
21,Instagram,0,15-01-2026,image,191,80,15,1,0,0,0,#startup #insta #ideas #entrepreneur
22,Instagram,32,14-01-2026,reel,532,341,29,1,0,0,0,#digitalmarketingagency #smmservices #seoexpert #paidads
23,Instagram,0,13-01-2026,image,233,93,17,1,0,1,0,#HappyMakarSankranti #HappyPongal #FestiveWishes #indian
24,Instagram,0,01-12-2026,carousel,308,105,25,1,0,0,0,#design #bakery #foodbranding #bakerymarketing
25,Instagram,0,01-11-2026,image,217,86,14,1,0,1,0,N/A
26,Instagram,0,01-10-2026,image,179,68,20,0,0,0,0,#HumanTraffickingAwarenessDay #FreedomForAll #RaiseYourVoice #SocialImpactDesign
